stage_rewards = [1, 2, 13]
stage_capacity = [6, 3, 1]
{'players_position': [1, 0, 0, 1, 1, 0], 'players_score': array([2, 1, 1, 2, 2, 1]), 'time_left': 9}, number_of_pushes = 1
{'players_position': [0, 0, 0, 1, 1, 1], 'players_score': array([3, 2, 2, 4, 4, 3]), 'time_left': 8}, number_of_pushes = 2
{'players_position': [0, 0, 1, 0, 0, 2], 'players_score': array([ 4,  3,  4,  5,  5, 16]), 'time_left': 7}, number_of_pushes = 4
{'players_position': [1, 0, 1, 0, 1, 2], 'players_score': array([ 6,  4,  6,  6,  7, 29]), 'time_left': 6}, number_of_pushes = 4
{'players_position': [1, 0, 1, 0, 1, 2], 'players_score': array([ 8,  5,  8,  7,  9, 42]), 'time_left': 5}, number_of_pushes = 7
{'players_position': [1, 0, 0, 1, 1, 2], 'players_score': array([10,  6,  9,  9, 11, 55]), 'time_left': 4}, number_of_pushes = 8
{'players_position': [0, 0, 0, 1, 2, 1], 'players_score': array([11,  7, 10, 11, 24, 57]), 'time_left': 3}, number_of_pushes = 10
{'players_position': [1, 0, 0, 1, 2, 1], 'players_score': array([13,  8, 11, 13, 37, 59]), 'time_left': 2}, number_of_pushes = 12
{'players_position': [0, 0, 1, 1, 0, 2], 'players_score': array([14,  9, 13, 15, 38, 72]), 'time_left': 1}, number_of_pushes = 15
{'players_position': [0, 0, 0, 2, 1, 0], 'players_score': array([15, 10, 14, 28, 40, 73]), 'time_left': 0}, number_of_pushes = 17
{'players_position': [1, 1, 0, 1, 0, 0], 'players_score': array([2, 2, 1, 2, 1, 1]), 'time_left': 9}, number_of_pushes = 1
{'players_position': [0, 0, 0, 2, 0, 0], 'players_score': array([ 3,  3,  2, 15,  2,  2]), 'time_left': 8}, number_of_pushes = 3
{'players_position': [0, 1, 0, 2, 1, 0], 'players_score': array([ 4,  5,  3, 28,  4,  3]), 'time_left': 7}, number_of_pushes = 3
{'players_position': [0, 1, 1, 0, 2, 0], 'players_score': array([ 5,  7,  5, 29, 17,  4]), 'time_left': 6}, number_of_pushes = 4
{'players_position': [1, 0, 2, 1, 0, 0], 'players_score': array([ 7,  8, 18, 31, 18,  5]), 'time_left': 5}, number_of_pushes = 6
{'players_position': [2, 0, 0, 1, 1, 0], 'players_score': array([20,  9, 19, 33, 20,  6]), 'time_left': 4}, number_of_pushes = 7
{'players_position': [0, 1, 0, 1, 2, 1], 'players_score': array([21, 11, 20, 35, 33,  8]), 'time_left': 3}, number_of_pushes = 8
{'players_position': [1, 1, 0, 2, 0, 0], 'players_score': array([23, 13, 21, 48, 34,  9]), 'time_left': 2}, number_of_pushes = 10
{'players_position': [0, 2, 1, 1, 1, 0], 'players_score': array([24, 26, 23, 50, 36, 10]), 'time_left': 1}, number_of_pushes = 12
{'players_position': [1, 0, 0, 2, 0, 0], 'players_score': array([26, 27, 24, 63, 37, 11]), 'time_left': 0}, number_of_pushes = 15
{'players_position': [1, 0, 0, 0, 1, 0], 'players_score': array([2, 1, 1, 1, 2, 1]), 'time_left': 9}, number_of_pushes = 0
{'players_position': [2, 0, 0, 1, 1, 1], 'players_score': array([15,  2,  2,  3,  4,  3]), 'time_left': 8}, number_of_pushes = 0
{'players_position': [0, 0, 1, 0, 2, 1], 'players_score': array([16,  3,  4,  4, 17,  5]), 'time_left': 7}, number_of_pushes = 4
{'players_position': [1, 0, 1, 0, 0, 2], 'players_score': array([18,  4,  6,  5, 18, 18]), 'time_left': 6}, number_of_pushes = 7
{'players_position': [0, 1, 2, 1, 0, 1], 'players_score': array([19,  6, 19,  7, 19, 20]), 'time_left': 5}, number_of_pushes = 9
{'players_position': [1, 0, 0, 2, 1, 1], 'players_score': array([21,  7, 20, 20, 21, 22]), 'time_left': 4}, number_of_pushes = 13
{'players_position': [0, 1, 1, 0, 0, 2], 'players_score': array([22,  9, 22, 21, 22, 35]), 'time_left': 3}, number_of_pushes = 16
{'players_position': [0, 0, 1, 1, 1, 2], 'players_score': array([23, 10, 24, 23, 24, 48]), 'time_left': 2}, number_of_pushes = 18
{'players_position': [1, 0, 0, 1, 1, 2], 'players_score': array([25, 11, 25, 25, 26, 61]), 'time_left': 1}, number_of_pushes = 19
{'players_position': [0, 1, 0, 0, 2, 0], 'players_score': array([26, 13, 26, 26, 39, 62]), 'time_left': 0}, number_of_pushes = 22
{'players_position': [0, 0, 0, 1, 1, 1], 'players_score': array([1, 1, 1, 2, 2, 2]), 'time_left': 9}, number_of_pushes = 2
{'players_position': [1, 0, 0, 1, 2, 1], 'players_score': array([ 3,  2,  2,  4, 15,  4]), 'time_left': 8}, number_of_pushes = 5
{'players_position': [0, 0, 1, 2, 1, 1], 'players_score': array([ 4,  3,  4, 17, 17,  6]), 'time_left': 7}, number_of_pushes = 7
{'players_position': [0, 0, 1, 0, 0, 2], 'players_score': array([ 5,  4,  6, 18, 18, 19]), 'time_left': 6}, number_of_pushes = 9
{'players_position': [1, 0, 2, 0, 0, 1], 'players_score': array([ 7,  5, 19, 19, 19, 21]), 'time_left': 5}, number_of_pushes = 10
{'players_position': [1, 0, 0, 0, 1, 2], 'players_score': array([ 9,  6, 20, 20, 21, 34]), 'time_left': 4}, number_of_pushes = 12
{'players_position': [0, 0, 1, 0, 2, 1], 'players_score': array([10,  7, 22, 21, 34, 36]), 'time_left': 3}, number_of_pushes = 14
{'players_position': [0, 1, 1, 0, 0, 2], 'players_score': array([11,  9, 24, 22, 35, 49]), 'time_left': 2}, number_of_pushes = 15
{'players_position': [1, 2, 1, 0, 0, 1], 'players_score': array([13, 22, 26, 23, 36, 51]), 'time_left': 1}, number_of_pushes = 17
{'players_position': [1, 2, 1, 0, 0, 1], 'players_score': array([15, 35, 28, 24, 37, 53]), 'time_left': 0}, number_of_pushes = 17
{'players_position': [0, 0, 1, 0, 1, 1], 'players_score': array([1, 1, 2, 1, 2, 2]), 'time_left': 9}, number_of_pushes = 2
{'players_position': [0, 1, 1, 0, 0, 2], 'players_score': array([ 2,  3,  4,  2,  3, 15]), 'time_left': 8}, number_of_pushes = 3
{'players_position': [0, 0, 2, 1, 1, 1], 'players_score': array([ 3,  4, 17,  4,  5, 17]), 'time_left': 7}, number_of_pushes = 6
{'players_position': [0, 1, 2, 1, 0, 1], 'players_score': array([ 4,  6, 30,  6,  6, 19]), 'time_left': 6}, number_of_pushes = 10
{'players_position': [0, 1, 0, 0, 1, 2], 'players_score': array([ 5,  8, 31,  7,  8, 32]), 'time_left': 5}, number_of_pushes = 12
{'players_position': [0, 2, 1, 0, 1, 1], 'players_score': array([ 6, 21, 33,  8, 10, 34]), 'time_left': 4}, number_of_pushes = 16
{'players_position': [1, 0, 2, 1, 0, 1], 'players_score': array([ 8, 22, 46, 10, 11, 36]), 'time_left': 3}, number_of_pushes = 19
{'players_position': [1, 0, 2, 1, 0, 1], 'players_score': array([10, 23, 59, 12, 12, 38]), 'time_left': 2}, number_of_pushes = 19
{'players_position': [0, 0, 1, 0, 1, 2], 'players_score': array([11, 24, 61, 13, 14, 51]), 'time_left': 1}, number_of_pushes = 22
{'players_position': [0, 1, 0, 0, 2, 1], 'players_score': array([12, 26, 62, 14, 27, 53]), 'time_left': 0}, number_of_pushes = 24
{'players_position': [0, 0, 1, 1, 0, 1], 'players_score': array([1, 1, 2, 2, 1, 2]), 'time_left': 9}, number_of_pushes = 1
{'players_position': [0, 0, 0, 1, 1, 2], 'players_score': array([ 2,  2,  3,  4,  3, 15]), 'time_left': 8}, number_of_pushes = 6
{'players_position': [0, 1, 0, 1, 1, 2], 'players_score': array([ 3,  4,  4,  6,  5, 28]), 'time_left': 7}, number_of_pushes = 10
{'players_position': [1, 1, 0, 0, 1, 2], 'players_score': array([ 5,  6,  5,  7,  7, 41]), 'time_left': 6}, number_of_pushes = 14
{'players_position': [0, 0, 1, 1, 2, 0], 'players_score': array([ 6,  7,  7,  9, 20, 42]), 'time_left': 5}, number_of_pushes = 17
{'players_position': [1, 0, 2, 1, 0, 1], 'players_score': array([ 8,  8, 20, 11, 21, 44]), 'time_left': 4}, number_of_pushes = 18
{'players_position': [0, 0, 0, 1, 1, 2], 'players_score': array([ 9,  9, 21, 13, 23, 57]), 'time_left': 3}, number_of_pushes = 21
